Joel Embiid,61,33.3,10.2,4.2,1.1,1.7
Luka Doncic,59,32.9,8.6,8.2,1.4,0.5
Damian Lillard,58,32.2,4.8,7.3,0.9,0.3
Shai Gilgeous-Alexander,63,31.3,4.8,5.5,1.7,1
Giannis Antetokounmpo,59,31.1,11.8,5.6,0.8,0.8
Jayson Tatum,69,30.1,8.9,4.7,1,0.7
Kevin Durant,39,29.7,6.7,5.3,0.8,1.5
Stephen Curry,49,29.6,6.2,6.3,0.9,0.3
LeBron James,47,29.5,8.4,6.9,0.9,0.6
Devin Booker,47,28.2,4.6,5.4,0.9,0.4
Kyrie Irving,14,27.6,5.4,6.1,1.1,0.5
Donovan Mitchell,63,27.5,4.2,4.5,1.5,0.4
Kyrie Irving,40,27.1,5.1,5.3,1,0.8
Jaylen Brown,62,26.7,6.9,3.4,1.1,0.4
Kevin Durant,3,26.7,7.3,3.7,0.3,1.3
Ja Morant,55,26.7,5.9,8.1,1.1,0.3
Trae Young,67,26.6,3.1,10,1.1,0.1
Anthony Davis,48,26.1,12.5,2.5,1,2
Zion Williamson,29,26,7,4.6,1.1,0.6
Mikal Bridges,19,25.8,4.5,2.6,0.9,0.6
Lauri Markkanen,64,25.7,8.6,1.9,0.6,0.6
Julius Randle,75,25.4,10.1,4.2,0.6,0.3
De'Aaron Fox,66,25.3,4.2,6.1,1.2,0.3
DeMar DeRozan,66,25.1,4.7,5,1.1,0.5
Zach LaVine,69,25,4.6,4.1,0.9,0.2
Nikola Jokic,66,24.9,11.8,9.9,1.3,0.6
Anthony Edwards,71,24.7,5.9,4.4,1.6,0.7
Pascal Siakam,64,24.3,7.8,6,0.8,0.5
Brandon Ingram,37,23.9,5,5.4,0.6,0.4
Jalen Brunson,65,23.8,3.6,6.2,0.9,0.2
Paul George,56,23.8,6.1,5.1,1.5,0.4
Kawhi Leonard,46,23.7,6.3,3.9,1.5,0.5
LaMelo Ball,36,23.3,6.4,8.4,1.3,0.3
Bradley Beal,50,23.2,3.9,5.4,0.9,0.7
Kristaps Porzingis,63,23,8.4,2.6,0.9,1.6
Jimmy Butler,60,22.8,5.9,5.1,1.9,0.4
Keldon Johnson,61,22,5.1,2.9,0.7,0.2
Jalen Green,68,21.9,3.9,3.6,0.8,0.3
Klay Thompson,63,21.8,4.2,2.4,0.7,0.4
Darius Garland,64,21.7,2.7,7.8,1.3,0.1
Bojan Bogdanovic,59,21.6,3.8,2.6,0.6,0.1
James Harden,53,21.4,6.3,10.8,1.2,0.5
Kyle Kuzma,64,21.2,7.2,3.7,0.6,0.5
